arc_id,frequency,power
DEMO-G01-1C-0001,5.2550354685707275,683.2230589691404
DEMO-G01-1C-0001,5.293543300533874,664.700179661395
DEMO-G01-1C-0001,5.33205113249702,645.0394018691374
DEMO-G01-1C-0001,5.370558964460167,624.3610250380683
DEMO-G01-1C-0001,5.409066796423313,602.7873462137558
DEMO-G01-1C-0001,5.44757462838646,580.4412313184455
DEMO-G01-1C-0001,5.486082460349606,557.4448336324598
DEMO-G01-1C-0001,5.5245902923127534,533.918473952609
DEMO-G01-1C-0001,5.5630981242759,509.9796897165988
DEMO-G01-1C-0001,5.601605956239046,485.74245401851124
DEMO-G01-1C-0001,5.640113788202193,461.31656006435713
DEMO-G01-1C-0001,5.678621620165339,436.8071623056307
DEMO-G01-1C-0001,5.717129452128486,412.3144622432204
DEMO-G01-1C-0001,5.755637284091632,387.93352465412653
DEMO-G01-1C-0001,5.7941451160547786,363.7542086566194
DEMO-G01-1C-0001,5.832652948017925,339.8611974666509
DEMO-G01-1C-0001,5.871160779981071,316.3341107681358
DEMO-G01-1C-0001,5.909668611944218,293.24768417989634
DEMO-G01-1C-0001,5.948176443907364,270.67200121784833
DEMO-G01-1C-0001,5.986684275870511,248.67276430122428
DEMO-G01-1C-0001,6.025192107833657,227.31159263159137
DEMO-G01-1C-0001,6.0636999397968045,206.6463360969659
DEMO-G01-1C-0001,6.102207771759951,186.73139565228945
DEMO-G01-1C-0001,6.140715603723097,167.61804185133732
DEMO-G01-1C-0001,6.179223435686244,149.35472431869053
DEMO-G01-1C-0001,6.21773126764939,131.98736593267057
DEMO-G01-1C-0001,6.256239099612537,115.5596363319227
DEMO-G01-1C-0001,6.294746931575683,100.11320006026114
DEMO-G01-1C-0001,6.33325476353883,85.68793523528757
DEMO-G01-1C-0001,6.371762595501976,72.32211908133738
DEMO-G01-1C-0001,6.4102704274651225,60.052577026555745
DEMO-G01-1C-0001,6.44877825942827,48.91479235093162
DEMO-G01-1C-0001,6.487286091391416,38.94297361278033
DEMO-G01-1C-0001,6.525793923354563,30.17007730249757
DEMO-G01-1C-0001,6.564301755317709,22.627783401707582
DEMO-G01-1C-0001,6.602809587280856,16.346421789806836
DEMO-G01-1C-0001,6.641317419244002,11.35484776375812
DEMO-G01-1C-0001,6.6798252512071485,7.680265344166855
DEMO-G01-1C-0001,6.718333083170295,5.347997552125627
DEMO-G01-1C-0001,6.756840915133441,4.381203475036599
